Folder,Filename,Path,Description,Error
T03 A Poylo Lebon/une_image_page/image_sans_texte,page_12.jpg,T03 A Poylo Lebon/une_image_page/image_sans_texte/page_12.jpg,"a man standing in the middle of a dark room, illuminated by a light at the top. He is wearing a white shirt and dark pants, and his hands are clasped together in front of him. His face is partially obscured by the light, giving him a mysterious and ethereal look.",
T03 A Poylo Lebon/une_image_page/image_sans_texte,page_29.jpg,T03 A Poylo Lebon/une_image_page/image_sans_texte/page_29.jpg,"a concrete wall with a hole in the middle of it, which appears to be a ventilation shaft. The shaft is surrounded by metal rods, and there is text at the bottom of the image.",
T03 A Poylo Lebon/une_image_page/image_sans_texte,page_30.jpg,T03 A Poylo Lebon/une_image_page/image_sans_texte/page_30.jpg,"a close up of a concrete ceiling with a lot of water on it, and in the center of the image there is a watermark. The watermark is visible on the surface of the concrete, giving the image a unique texture.",
T03 A Poylo Lebon/une_image_page/image_sans_texte,page_28.jpg,T03 A Poylo Lebon/une_image_page/image_sans_texte/page_28.jpg,"a close up of a metal pipe with rust on it, attached to a wall in the background.",
T03 A Poylo Lebon/une_image_page/image_sans_texte,page_15.jpg,T03 A Poylo Lebon/une_image_page/image_sans_texte/page_15.jpg,"a close up of a rock wall with a light shining through it, revealing the intricate pattern of grooves and ridges that make up the wall.",
T03 A Poylo Lebon/une_image_page/image_sans_texte,page_21.jpg,T03 A Poylo Lebon/une_image_page/image_sans_texte/page_21.jpg,"a man wearing a blue jacket and a white helmet, holding an object in his hand, standing in front of a large metal object in a dark background.",
T03 A Poylo Lebon/une_image_page/image_sans_texte,page_9.jpg,T03 A Poylo Lebon/une_image_page/image_sans_texte/page_9.jpg,"a dark tunnel with a light at the end of it, illuminated by a few lights on the right side. The walls of the tunnel are visible, and there is some text at the bottom of the image.",
T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte,page_35_bottom.jpg,T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte/page_35_bottom.jpg,"a close up of a concrete floor with a lot of dirt on it, and in the center of the image there is a vein visible.",
T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte,page_16_top.jpg,T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte/page_16_top.jpg,"a close up of a rock with a cross carved into it. The cross is clearly visible, with its distinct shape and texture. The rock is a light gray color, and the cross is a darker shade of gray.",
T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte,page_8_top.jpg,T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte/page_8_top.jpg,"a close up of a rock with a small hole in it, which appears to be a culvert. The hole is surrounded by a rough, textured surface, and there is a small amount of dirt and debris scattered around it.",
T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte,page_33_bottom.jpg,T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte/page_33_bottom.jpg,"a close up of a concrete ceiling with a lot of dirt on it, indicating that it has been exposed to the elements for some time.",
T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte,page_25_top.jpg,T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte/page_25_top.jpg,"a man standing in a dark room next to a large metal pipe, with a wall in the background.",
T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte,page_22_bottom.jpg,T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte/page_22_bottom.jpg,"a close up of a wooden ceiling with a lot of rust on it. The rust is visible on the wooden planks, giving the ceiling a rustic and aged look.",
T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte,page_7_top.jpg,T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte/page_7_top.jpg,"a cave with a small hole in the middle of it, illuminated by a light at the top. The walls of the cave are visible, and there is text at the bottom of the image.",
T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte,page_34_bottom.jpg,T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte/page_34_bottom.jpg,an aerial view of a body of water with a few people swimming in it. The water is a deep blue color and the surface of the water is glistening in the sunlight. The people in the water appear to be swimming in a peaceful and tranquil environment.,
T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte,page_22_top.jpg,T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte/page_22_top.jpg,"an old photo of a tunnel with a light at the end of it. The walls of the tunnel are visible, and there is text at the bottom of the image.",
T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte,page_27_bottom.jpg,T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte/page_27_bottom.jpg,"a large metal pipe attached to the ceiling of a building, with metal rods supporting it.",
T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte,page_18_bottom.jpg,T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte/page_18_bottom.jpg,"a man in a blue jacket and white helmet working on a wall, holding an object in his hand.",
T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte,page_23_top.jpg,T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte/page_23_top.jpg,"a close up of a metal pipe with rust on it. The metal is a rusty brown color, indicating that it has been exposed to the elements for some time.",
T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte,page_8_bottom.jpg,T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte/page_8_bottom.jpg,"a person standing in a dark room next to a wall, wearing a pair of footwear.",
T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte,page_16_bottom.jpg,T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte/page_16_bottom.jpg,"a close up of a rock with a crack running through it. The crack is clearly visible, and the rock is a light color.",
T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte,page_33_top.jpg,T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte/page_33_top.jpg,"a close up of a wall with a light shining through it, revealing a vein running through the surface.",
T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte,page_5_top.jpg,T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte/page_5_top.jpg,"an old photo of a concrete wall with a lot of rust on it. The wall is covered in a layer of mildew, giving it a worn and aged look.",
T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte,page_18_top.jpg,T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte/page_18_top.jpg,"a close up of a wall with a lot of dirt on it, and the floor is visible at the bottom. The wall appears to be in a crawlspace, as evidenced by the dirt and debris scattered around it.",
T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte,page_35_top.jpg,T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte/page_35_top.jpg,"a close up of a concrete wall with a lot of dirt on it, and at the bottom of the image there is a wooden plank. The dirt on the wall appears to be mildew, as evidenced by the mildew covering the surface.",
T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte,page_20_bottom.jpg,T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte/page_20_bottom.jpg,"a man standing in the middle of a dark tunnel, holding an object in his hand. The walls of the tunnel are visible in the background.",
T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte,page_36_bottom.jpg,T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte/page_36_bottom.jpg,"a close up of a pipe with water coming out of it, and a rock in the center of the pipe. The rock is surrounded by a pool of water, and there is text at the bottom of the image.",
T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte,page_7_bottom.jpg,T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte/page_7_bottom.jpg,"a close up of a metal pole in a dark room, with a wall on the left side and a ceiling at the top.",
T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte,page_6_bottom.jpg,T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte/page_6_bottom.jpg,"an aerial view of a large hole in the ground with a tree growing out of it. The tree is visible in the center of the image, surrounded by the ground.",
T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte,page_34_top.jpg,T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte/page_34_top.jpg,"a close up of a concrete floor with a light shining through it, revealing a patch of mold on the surface.",
T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte,page_14_top.jpg,T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte/page_14_top.jpg,"a close up of a wall with a lot of rust on it, and at the bottom of the image there is a watermark. The wall appears to be a culvert, with a rough, uneven surface and a few cracks and crevices.",
T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte,page_27_top.jpg,T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte/page_27_top.jpg,"a large pipe in the middle of a room with a wooden ceiling, surrounded by metal rods. The walls of the room are visible in the background.",
T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte,page_14_bottom.jpg,T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte/page_14_bottom.jpg,"a close up of a rock wall with a lot of dirt on it, and in the center of the image there is a photo of a rivet. The rivet is clearly visible, with its distinct shape and texture.",
T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte,page_24_bottom.jpg,T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte/page_24_bottom.jpg,a large metal pipe sitting atop a wooden shelf in a room with a wall in the background.,
T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte,page_23_bottom.jpg,T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte/page_23_bottom.jpg,"a pipe in the middle of a room with a hole in it, surrounded by a few objects on the floor and a metal object on the left side.",
T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte,page_25_bottom.jpg,T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte/page_25_bottom.jpg,"a rusty pipe hanging from the side of a building, with a metal object attached to it. The pipe is covered in rust, indicating that it has been exposed to the elements for some time.",
T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte,page_20_top.jpg,T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte/page_20_top.jpg,"a painting of a waterfall cascading down a rocky cliff, with icicles hanging from the side of the cliff. The water below is still and calm, reflecting the sky above.",
T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte,page_5_bottom.jpg,T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte/page_5_bottom.jpg,"a close up of a rock with a small hole in it, which appears to be a culvert. The rock is a light brown color and has a rough texture. The hole is small and jagged, and is located in the center of the rock.",
T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte,page_6_top.jpg,T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte/page_6_top.jpg,"a close up of a wall with a lot of water on it, and at the bottom of the image there is some text. The wall appears to be made of concrete, and the water is visible in the background.",
T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte,page_36_top.jpg,T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte/page_36_top.jpg,"a close up of a metal structure with water coming out of it, surrounded by trees in the background.",
T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte,page_24_top.jpg,T03 A Poylo Lebon/doubles_images_pages/split_images/image_sans_texte/page_24_top.jpg,"a large metal pipe in the middle of a room, surrounded by wooden planks and a wall. The pipe appears to be a millstone, with a cylindrical shape and a flat surface. It is likely made of metal and has a rustic, aged look to it.",
T11 V Hugo Tour de Varan Gambetta/une_image_page/image_sans_texte,page_27.jpg,T11 V Hugo Tour de Varan Gambetta/une_image_page/image_sans_texte/page_27.jpg,"a brick wall with a small hole in it, surrounded by stones on the ground.",
T11 V Hugo Tour de Varan Gambetta/une_image_page/image_sans_texte,page_35.jpg,T11 V Hugo Tour de Varan Gambetta/une_image_page/image_sans_texte/page_35.jpg,"a close up of a rock wall with a pattern on it. The rock is rough and textured, with a variety of colors and shapes. The pattern is intricate and detailed, with swirls and curves that create a unique texture.",
T11 V Hugo Tour de Varan Gambetta/une_image_page/image_sans_texte,page_36.jpg,T11 V Hugo Tour de Varan Gambetta/une_image_page/image_sans_texte/page_36.jpg,"a close up of a brick wall with a small hole in it, which appears to be a joist. The joist is made of wood and has a rough, uneven surface. The hole is small and jagged, and is located in the center of the wall.",
T11 V Hugo Tour de Varan Gambetta/une_image_page/image_sans_texte,page_7.jpg,T11 V Hugo Tour de Varan Gambetta/une_image_page/image_sans_texte/page_7.jpg,"a small stream running through a stone tunnel, with water flowing through it. On the left side of the image there is a wall, and at the bottom there is text.",
T11 V Hugo Tour de Varan Gambetta/une_image_page/image_sans_texte,page_41.jpg,T11 V Hugo Tour de Varan Gambetta/une_image_page/image_sans_texte/page_41.jpg,"a pile of trash next to a body of water, with a wall in the background. The trash consists of various items such as plastic bottles, cans, and other miscellaneous items.",
T11 V Hugo Tour de Varan Gambetta/une_image_page/image_sans_texte,page_4.jpg,T11 V Hugo Tour de Varan Gambetta/une_image_page/image_sans_texte/page_4.jpg,"a black and white drawing of a building with a wall on the right side and a sky in the background. At the bottom of the image, there is some text.",
T11 V Hugo Tour de Varan Gambetta/une_image_page/image_sans_texte,page_5.jpg,T11 V Hugo Tour de Varan Gambetta/une_image_page/image_sans_texte/page_5.jpg,"a brick wall with smoke coming out of it, and at the bottom of the image there is a body of water. The smoke is billowing out of the pipe, creating a mysterious atmosphere.",
T11 V Hugo Tour de Varan Gambetta/une_image_page/image_sans_texte,page_30.jpg,T11 V Hugo Tour de Varan Gambetta/une_image_page/image_sans_texte/page_30.jpg,"a brick wall with a small hole in it, which appears to be a drainage ditch. The wall is made of stone and has a rough, uneven surface. The hole in the wall is small and jagged, and is likely used to drain water from the ditch.",
T11 V Hugo Tour de Varan Gambetta/une_image_page/image_sans_texte,page_14.jpg,T11 V Hugo Tour de Varan Gambetta/une_image_page/image_sans_texte/page_14.jpg,"a drawing of a small town with a river running through it, surrounded by buildings, trees, and a bridge. At the bottom of the image, there is some text.",
T11 V Hugo Tour de Varan Gambetta/une_image_page/image_sans_texte,page_39.jpg,T11 V Hugo Tour de Varan Gambetta/une_image_page/image_sans_texte/page_39.jpg,"an old photo of a tunnel with a light at the end of it. The walls of the tunnel are visible, and the light from the end illuminates the tunnel, giving it a mysterious and eerie atmosphere.",
T11 V Hugo Tour de Varan Gambetta/une_image_page/image_sans_texte,page_21.jpg,T11 V Hugo Tour de Varan Gambetta/une_image_page/image_sans_texte/page_21.jpg,"a stone wall with a small hole in the middle of it, surrounded by water. On the right side of the wall is a pillar, and at the bottom of the image is text.",
T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte,page_19_bottom.jpg,T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte/page_19_bottom.jpg,"a brick wall with a stone bench in the middle of it. The bench is made of stone and is situated in the center of the wall, with the floor visible at the bottom.",
T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte,page_8_top.jpg,T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte/page_8_top.jpg,"a person walking down a cobblestone street at night, with a wall on the left side and water on the right side. The person is wearing a walking shoe, suggesting they are on their way somewhere.",
T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte,page_33_bottom.jpg,T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte/page_33_bottom.jpg,"a stone wall with a small stream running through it, and the water is visible at the bottom. On the right side of the image, there are a few objects scattered on the ground.",
T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte,page_25_top.jpg,T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte/page_25_top.jpg,"a stone wall with a crack running through it. The wall is made up of cobblestones, and the crack is visible in the center of the wall.",
T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte,page_22_bottom.jpg,T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte/page_22_bottom.jpg,a stone tunnel with a hole in the middle of it. The walls of the tunnel are made of brick and there is a watermark at the bottom of the image.,
T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte,page_34_bottom.jpg,T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte/page_34_bottom.jpg,"a close up of a stone wall with a lot of cracks in it. The wall is made up of various shades of grey and brown, and the cracks are clearly visible. The texture of the wall is rough and uneven, with some areas appearing darker than others.",
T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte,page_22_top.jpg,T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte/page_22_top.jpg,a dark tunnel with a stone archway in the middle of it. The walls of the tunnel are made of brick and there is a watermark at the bottom of the image.,
T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte,page_19_top.jpg,T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte/page_19_top.jpg,a brick tunnel with a small stream running through it. The walls of the tunnel are made of bricks and the water is visible at the bottom of the image.,
T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte,page_28_top.jpg,T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte/page_28_top.jpg,"a large rock in the middle of a body of water, with a wall in the background. The water is visible at the bottom of the image, and there are a few objects scattered around the rock.",
T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte,page_31_top.jpg,T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte/page_31_top.jpg,"a man standing in the middle of a flooded tunnel, surrounded by water and rocks. He is wearing a white shirt and blue jeans, and his hands are clasped together in front of him. The water is murky and the rocks are scattered around him.",
T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte,page_40_bottom.jpg,T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte/page_40_bottom.jpg,"a close up of a piece of wood with a light shining through it, revealing the bark of the tree. The bark is rough and textured, with visible ridges and grooves, and the light reflects off of it, giving it a warm, inviting glow.",
T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte,page_26_bottom.jpg,T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte/page_26_bottom.jpg,"a close up of a stone wall with a black background. The wall is made up of various shades of grey and white, with some of the stones having a rough texture. The black background provides a stark contrast to the stone wall, making it stand out.",
T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte,page_40_top.jpg,T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte/page_40_top.jpg,"a brick wall with a lot of dirt on it, and at the bottom of the image there is a floor. The wall appears to be in a basement, with the dirt and grime visible on the surface.",
T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte,page_8_bottom.jpg,T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte/page_8_bottom.jpg,"a brick wall with a small stream running through it, and the water is visible at the bottom.",
T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte,page_9_bottom.jpg,T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte/page_9_bottom.jpg,"a stone tunnel with a light at the end of it. The walls of the tunnel are made of stone and the light from the end casts a warm glow on the tunnel, illuminating the area around it.",
T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte,page_38_bottom.jpg,T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte/page_38_bottom.jpg,"a dark tunnel with rocks and debris on the ground, illuminated by a light at the end.",
T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte,page_33_top.jpg,T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte/page_33_top.jpg,"a stone wall with a small hole in the middle of it, surrounded by water. The wall appears to be a culvert, with a drainage ditch running through it. The water is visible at the bottom of the image, and the wall is made of stone.",
T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte,page_10_bottom.jpg,T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte/page_10_bottom.jpg,a dark tunnel with a light at the end of it. The walls of the tunnel are made of stone and there is a watermark at the bottom of the image.,
T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte,page_37_bottom.jpg,T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte/page_37_bottom.jpg,"a dark tunnel with a lot of trash on the ground, illuminated by a light at the end.",
T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte,page_20_bottom.jpg,T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte/page_20_bottom.jpg,"a man standing in a tunnel with a stick in his hand. He is wearing a blue jacket, green pants, and a white helmet. The walls of the tunnel are made of brick and there is a door in the background.",
T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte,page_29_bottom.jpg,T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte/page_29_bottom.jpg,"a stone wall with a small hole in the middle of it, surrounded by water. At the bottom of the image, there is text.",
T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte,page_6_bottom.jpg,T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte/page_6_bottom.jpg,"a man in a green suit and hat standing in a tunnel, holding a stick in his hand. He is surrounded by water and there is a wall on either side of him.",
T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte,page_26_top.jpg,T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte/page_26_top.jpg,"a close up of a rock wall with a lot of dirt on it. The rock is rough and uneven, with some areas appearing darker and others lighter. The dirt is scattered across the rock, giving it a worn and aged look.",
T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte,page_34_top.jpg,T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte/page_34_top.jpg,"a close up of a rock wall with a white background. The rock is rough and uneven, with some areas appearing darker and others lighter. The white background provides a stark contrast to the dark rock, making it stand out.",
T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte,page_37_top.jpg,T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte/page_37_top.jpg,"a pile of trash on the ground next to a body of water, with a metal object on the left side and a wall in the background.",
T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte,page_10_top.jpg,T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte/page_10_top.jpg,"a brick wall with a hole in the middle of it, which appears to be a culvert. The wall is made of bricks and is covered in dirt and grime, indicating that it has been exposed to the elements for some time. The hole is small and jagged, and the light from outside illuminates the area around it.",
T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte,page_31_bottom.jpg,T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte/page_31_bottom.jpg,"a man standing in the middle of a culvert, holding a stick in his hand. The water is visible at the bottom of the image, and there are stones scattered around the area.",
T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte,page_9_top.jpg,T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte/page_9_top.jpg,"a brick tunnel with a light at the end of it. The walls of the tunnel are made of brickwork, and the light from the end casts a warm glow on the tunnel.",
T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte,page_24_bottom.jpg,T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte/page_24_bottom.jpg,"a stone wall with a small waterfall cascading down from it, creating a tranquil atmosphere.",
T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte,page_25_bottom.jpg,T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte/page_25_bottom.jpg,"a close up of a stone wall with a pattern on it. The wall is made up of various shades of grey and brown, and the pattern is intricate and detailed. The texture of the wall is rough and uneven, with some areas appearing darker and others lighter.",
T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte,page_20_top.jpg,T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte/page_20_top.jpg,"a stone tunnel with a small window in the middle of it, surrounded by water. The walls of the tunnel are made of brick and there is text at the bottom of the image.",
T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte,page_6_top.jpg,T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte/page_6_top.jpg,"a stone tunnel with a small stream running through it. The water is visible at the bottom of the tunnel, and the walls are made of stone.",
T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte,page_28_bottom.jpg,T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte/page_28_bottom.jpg,"a brick wall with a lot of trash on the ground, including stones and other debris. At the bottom of the image, there is text.",
T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte,page_24_top.jpg,T11 V Hugo Tour de Varan Gambetta/doubles_images_pages/split_images/image_sans_texte/page_24_top.jpg,"two men in hard hats and overalls standing next to a brick wall. One of the men is holding an object in his hand, while the other is holding a stick. The background is dark, giving the image a mysterious atmosphere.",
